symbol,company,weight,sector,shares_held
SHW,Sherwin-Williams Company,0.0014699349470295908,Materials,909252
REGN,Regeneron Pharmaceuticals Inc.,0.0014539825215258415,Health Care,850144
WMB,Williams Companies Inc.,0.0014229883798789716,Energy,13274789
MAR,Marriott International Inc. Class A,0.001405905073520816,Consumer Discretionary,3163078
RHT,Red Hat Inc.,0.0014001405835018955,Information Technology,1944317
EQIX,Equinix Inc.,0.0013869002704896872,Real Estate,886423
SRE,Sempra Energy,0.0013819664274700204,Utilities,3001582
ETN,Eaton Corp. Plc,0.0013809056011818163,Industrials,4748472
PSA,Public Storage,0.0013807955154349274,Real Estate,1644250
DAL,Delta Air Lines Inc.,0.0013644728015098238,Industrials,6905645
FISV,Fiserv Inc.,0.001354575092084976,Information Technology,4437238
DG,Dollar General Corporation,0.0013421253948913347,Consumer Discretionary,2917386
JCI,Johnson Controls International plc,0.001341354794663111,Industrials,10147142
SYY,Sysco Corporation,0.0013383624639067614,Consumer Staples,5247707
ADSK,Autodesk Inc.,0.0013374617623413054,Information Technology,2391195
KHC,Kraft Heinz Company,0.0013170258446006178,Consumer Staples,6826889
ALL,Allstate Corporation,0.001314083552820127,Financials,3792038
YUM,Yum! Brands Inc.,0.0012925167542250332,Consumer Discretionary,3477728
ROP,Roper Technologies Inc.,0.0012799569712845032,Industrials,1134174
EL,Estee Lauder Companies Inc. Class A,0.0012649652941172408,Consumer Staples,2461174
ORLY,O'Reilly Automotive Inc.,0.001259440991182442,Consumer Discretionary,882649
TEL,TE Connectivity Ltd.,0.0012481822216142374,Information Technology,3820509
EBAY,eBay Inc.,0.0012441991191358861,Consumer Discretionary,9994641
WELL,Welltower Inc.,0.0012345916357710182,Real Estate,4143748
LYB,LyondellBasell Industries NV,0.0012341112616027748,Materials,3508168
EA,Electronic Arts Inc.,0.0012264052593205373,Communication Services,3351178
HAL,Halliburton Company,0.0012230926791186923,Energy,9659739
STT,State Street Corporation,0.0012127246033207726,Financials,4165473
STZ,Constellation Brands Inc. Class A,0.0012053788816647174,Consumer Staples,1834395
STI,SunTrust Banks Inc.,0.0012013957791863659,Financials,5051523
PEG,Public Service Enterprise Group Inc,0.0011860037902122341,Utilities,5543668
MCO,Moody's Corporation,0.0011850430418757474,Financials,1832002
XEL,Xcel Energy Inc.,0.0011778074059665814,Utilities,5670433
LUV,Southwest Airlines Co.,0.0011741045217530386,Industrials,5663770
PPG,PPG Industries Inc.,0.001168800390312018,Materials,2656817
EQR,Equity Residential,0.0011573915038162374,Real Estate,4040217
CNC,Centene Corporation,0.001155770240998416,Health Care,2251594
GIS,General Mills Inc.,0.001151196678604932,Consumer Staples,6538073
ALXN,Alexion Pharmaceuticals Inc.,0.0011484045037520175,Health Care,2445126
OKE,ONEOK Inc.,0.001144421401273666,Energy,4511912
AVB,AvalonBay Communities Inc.,0.0011392974101457364,Real Estate,1516512
CXO,Concho Resources Inc.,0.0011282187808906235,Energy,2198786
MCK,McKesson Corporation,0.0011172902685630864,Health Care,2192018
APC,Anadarko Petroleum Corporation,0.0011080330580292294,Energy,5627634
GLW,Corning Inc,0.001103209300756452,Information Technology,8894267
APH,Amphenol Corporation Class A,0.0011024086771427132,Information Technology,3287721
ADM,Archer-Daniels-Midland Company,0.0010967142416899948,Consumer Staples,6165487
PXD,Pioneer Natural Resources Company,0.0010921406792965109,Energy,1860320
ED,Consolidated Edison Inc.,0.0010771890333099354,Utilities,3412691
VFC,V.F. Corporation,0.001073015782723321,Consumer Discretionary,3574418
TWTR,Twitter Inc.,0.001064288985333566,Communication Services,7906590
MTB,M&T Bank Corporation,0.0010556022191244982,Financials,1578399
FOX,Twenty-First Century Fox Inc. Class B,0.0010538008159935856,Communication Services,5351067
XLNX,Xilinx Inc.,0.0010465651800844196,Information Technology,2768923
KR,Kroger Co.,0.0010339753737583742,Consumer Staples,8722218
TROW,T. Rowe Price Group,0.0010331847579398068,Financials,2661386
IR,Ingersoll-Rand Plc,0.0010331447267591198,Industrials,2691694
A,Agilent Technologies Inc.,0.0010109874682488937,Health Care,3483805
DLTR,Dollar Tree Inc.,0.0010056232900368426,Consumer Discretionary,2595068
LRCX,Lam Research Corporation,0.001005222978229973,Information Technology,1730512
WEC,WEC Energy Group Inc,0.0010008595795350957,Utilities,3443557
DFS,Discover Financial Services,9.953352766002967e-4,Financials,3763606
PAYX,Paychex Inc.,9.894006540634565e-4,Information Technology,3512086
DLR,Digital Realty Trust Inc.,9.87559219751857e-4,Real Estate,2260412
CMI,Cummins Inc.,9.80964082733682e-4,Industrials,1649868
PPL,PPL Corporation,9.726876361266553e-4,Utilities,7939046
CCL.U,Carnival Corporation,9.725375191990793e-4,Consumer Discretionary,4432957
ZBH,Zimmer Biomet Holdings Inc.,9.715567552722491e-4,Health Care,2232158
MNST,Monster Beverage Corporation,9.705859991405905e-4,Consumer Staples,4364553
HLT,Hilton Worldwide Holdings Inc,9.664327641443196e-4,Consumer Discretionary,3275702
PCAR,PACCAR Inc,9.651817897478525e-4,Industrials,3839977
VTR,Ventas Inc.,9.644612284954873e-4,Real Estate,3888467
AZO,AutoZone Inc.,9.62419638280453e-4,Consumer Discretionary,278841
ES,Eversource Energy,9.534426460114046e-4,Utilities,3458380
FTV,Fortive Corp.,9.497397617978619e-4,Industrials,3247077
PH,Parker-Hannifin Corporation,9.483186548834752e-4,Industrials,1450787
DTE,DTE Energy Company,9.248703907960949e-4,Utilities,1994058
WLTW,Willis Towers Watson Public Limited Company,9.212375611487543e-4,Financials,1432338
HPE,Hewlett Packard Enterprise Co.,9.190558618013156e-4,Information Technology,15717441
SWK,Stanley Black & Decker Inc.,9.160234998642793e-4,Industrials,1685247
IQV,IQVIA Holdings Inc,8.991803805902455e-4,Health Care,1768372
NTRS,Northern Trust Corporation,8.964482525083612e-4,Financials,2453150
SBAC,SBA Communications Corp. Class A,8.945667870160746e-4,Real Estate,1258577
UAL,United Continental Holdings Inc.,8.929655397885966e-4,Industrials,2512349
ROK,Rockwell Automation Inc.,8.865305274931697e-4,Industrials,1350001
CLX,Clorox Company,8.766228102731499e-4,Consumer Staples,1407643
O,Realty Income Corporation,8.64313222211913e-4,Real Estate,3254584
APTV,Aptiv PLC,8.480205316723249e-4,Consumer Discretionary,2909078
FE,FirstEnergy Corp.,8.466294481434534e-4,Utilities,5337453
MSI,Motorola Solutions Inc.,8.409149971003914e-4,Information Technology,1804111
VRSK,Verisk Analytics Inc,8.38533141849518e-4,Industrials,1808398
WY,Weyerhaeuser Company,8.345800627566817e-4,Real Estate,8265935
BXP,Boston Properties Inc.,8.309772564948563e-4,Real Estate,1684051
INFO,IHS Markit Ltd.,8.284753077019221e-4,Industrials,3933504
IP,International Paper Company,8.266438811854942e-4,Materials,4483043
RCL,Royal Caribbean Cruises Ltd.,8.244121428621969e-4,Consumer Discretionary,1879592
NUE,Nucor Corporation,8.218801706837473e-4,Materials,3473716
GPN,Global Payments Inc.,8.094104578997627e-4,Information Technology,1741439
SYF,Synchrony Financial,8.084897407439628e-4,Financials,7487923
AMD,Advanced Micro Devices Inc.,8.045967084221571e-4,Information Technology,9696615
MCHP,Microchip Technology Incorporated,8.000731850045319e-4,Information Technology,2564046
FITB,Fifth Third Bancorp,7.919468553250811e-4,Financials,7318005
FCX,Freeport-McMoRan Inc.,7.909360680127359e-4,Materials,15912832
TSN,Tyson Foods Inc. Class A,7.90775943289988e-4,Consumer Staples,3249416
CERN,Cerner Corporation,7.902555379410577e-4,Health Care,3611538
VRSN,VeriSign Inc.,7.897151170017838e-4,Information Technology,1179310
DXC,DXC Technology Co.,7.822793251891831e-4,Information Technology,3082167
