symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
REI,"Ring Energy, Inc.",6.05,$366.27M,NA,Energy,Oil & Gas Production
RIF,RMR Real Estate Income Fund,16.76,$170.99M,NA,NA,NA
SACH,Sachem Capital Corp.,4.058,$62.65M,2017,Consumer Services,Real Estate Investment Trusts
SNMP,Sanchez Midstream Partners LP,2.29,$37.07M,NA,Energy,Oil & Gas Production
SAND,Sandstorm Gold Ltd,4.41,$805.49M,NA,Basic Industries,Precious Metals
SEB,Seaboard Corporation,3773.28,$4.42B,1996,Finance,Investment Bankers/Brokers/Service
SENS,"Senseonics Holdings, Inc.",2.73,$482.8M,NA,Capital Goods,Industrial Machinery/Components
SVT,"Servotronics, Inc.",11.23,$29M,NA,Capital Goods,Industrial Machinery/Components
SMTS,Sierra Metals Inc.,1.8585,$303.73M,NA,Basic Industries,Precious Metals
SIF,"SIFCO Industries, Inc.",3.36,$19.12M,NA,Capital Goods,Aerospace
SVM,Silvercorp Metals Inc.,2,$336.85M,NA,Basic Industries,Precious Metals
SILV,SilverCrest Metals Inc.,3.03,$257.32M,2018,Basic Industries,Precious Metals
XPL,Solitario Zinc Corp.,0.2741,$15.95M,NA,Basic Industries,Precious Metals
SCE^B,Southern California Edison Company,17.2,NA,NA,NA,NA
SCE^C,Southern California Edison Company,17.73,NA,NA,NA,NA
SCE^D,Southern California Edison Company,18,NA,NA,NA,NA
SCE^E,Southern California Edison Company,19.8671,NA,NA,NA,NA
SGB,Southwest Georgia Financial Corporation,21.9799,$55.96M,NA,Finance,Major Banks
LOV,"Spark Networks, Inc.",9.1,$118.19M,2017,Consumer Services,Other Consumer Services
SRCI,SRC Energy Inc.,5.04,$1.22B,NA,Energy,Oil & Gas Production
SDI,Standard Diversified Inc.,14.97,$256.15M,NA,Consumer Non-Durables,Tobacco
SSY,"SunLink Health Systems, Inc.",1.19,$8.39M,NA,Health Care,Hospital/Nursing Management
SDPI,"Superior Drilling Products, Inc.",1.87,$45.91M,2014,Energy,Metal Fabrications
SYN,"Synthetic Biologics, Inc",0.69,$9.3M,NA,Health Care,Major Pharmaceuticals
TKAT,"Takung Art Co., Ltd.",0.6899,$7.74M,NA,Consumer Services,Other Specialty Stores
TALO.WS,"Talos Energy, Inc.",NA,NA,NA,NA,NA
TRX,Tanzanian Royalty Exploration Corporation,0.33,$41.3M,NA,Basic Industries,Precious Metals
TGB,Taseko Mines Limited,0.5799,$132.45M,NA,Basic Industries,Precious Metals
TIK,Tel-Instrument Electronics Corp.,4.96,$16.15M,NA,Capital Goods,Electrical Products
TGC,"Tengasco, Inc.",0.9125,$9.71M,NA,Energy,Oil & Gas Production
GLU,The Gabelli Global Utility and Income Trust,17.98,$73.92M,2004,NA,NA
GLU^A,The Gabelli Global Utility and Income Trust,48.55,NA,NA,NA,NA
GLU^B,The Gabelli Global Utility and Income Trust,51.97,NA,NA,NA,NA
GGO,The Gabelli Go Anywhere Trust,14.42,$23.24M,2016,NA,NA
GGO^A,The Gabelli Go Anywhere Trust,42.05,NA,NA,NA,NA
TDW.WS,Tidewater Inc.,NA,NA,NA,NA,NA
TMP,Tompkins Financial Corporation,80.78,$1.23B,NA,Finance,Major Banks
TAT,Transatlantic Petroleum Ltd,1.15,$60.28M,NA,Energy,Oil & Gas Production
TRXC,"TransEnterix, Inc.",2.79,$602.97M,NA,Health Care,Medical/Dental Instruments
TMQ,Trilogy Metals Inc.,2.07,$272.38M,NA,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc.,4.6,$145.58M,NA,Consumer Services,Building operators
TRT,Trio-Tech International,2.9157,$10.52M,NA,Technology,Industrial Machinery/Components
UFAB,"Unique Fabricating, Inc.",5.41,$52.87M,2015,Capital Goods,Auto Parts:O.E.M.
UAMY,United States Antimony Corporation,0.6692,$45.66M,NA,Capital Goods,Metal Fabrications
UUU,"Universal Security Instruments, Inc.",1.2,$2.78M,NA,Consumer Non-Durables,Electronic Components
UQM,UQM Technologies Inc.,1.13,$61.31M,NA,Capital Goods,Industrial Machinery/Components
URG,Ur Energy Inc,0.684,$108.91M,NA,Basic Industries,Precious Metals
UEC,Uranium Energy Corp.,1.29,$228.85M,NA,Basic Industries,Precious Metals
VHC,VirnetX Holding Corp,5.52,$368.53M,NA,Miscellaneous,Multi-Sector Companies
VGZ,Vista Gold Corporation,0.6297,$63.06M,NA,Basic Industries,Precious Metals
VNRX,VolitionRX Limited,2.34,$82.68M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VISI,"Volt Information Sciences, Inc.",3.6,$76.29M,NA,Technology,Professional Services
EAD,Wells Fargo Income Opportunities Fund,7.54,$519.9M,2003,NA,NA
ERC,Wells Fargo Multi-Sector Income Fund,11.75,$385.72M,2003,NA,NA
ERH,Wells Fargo Utilities and High Income Fund,11.92,$110.28M,2004,NA,NA
WRN,Western Copper and Gold Corporation,0.5997,$60.44M,2011,Basic Industries,Precious Metals
WYY,WidePoint Corporation,0.4467,$37.42M,NA,Technology,EDP Services
WTT,"Wireless Telecom Group,  Inc.",1.6301,$34.32M,NA,Capital Goods,Electrical Products
XTNT,"Xtant Medical Holdings, Inc.",2.24,$29.5M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YUMA,"Yuma Energy, Inc.",0.127,$2.95M,NA,Energy,Oil & Gas Production
ZDGE,"Zedge, Inc.",2.38,$24.54M,2016,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Pharmaceuticals Corp.,1.03,$104.16M,2017,Health Care,Major Pharmaceuticals
